"LEI"|"ISIN"
"BQQB9UCRdBXiOi7GZYsy"|"vmDEuPpS2YFi"
"U5wBNMM10e2mOMuvZlhz"|"3wJAJKRN1AX7"
"U5wBNMM10e2mOMuvZlhz"|"pAjV8ur7oJQF"
"4jMo2SDU3D2rWCawkwn1"|"CNnYUnGL5Y5N"
"4jMo2SDU3D2rWCawkwn1"|"oefZ3uNkWQZX"
"f3HECG8mDc2zbhhKoEA7"|"2Tl0gv7PFEn5"
"f3HECG8mDc2zbhhKoEA7"|"2pZTzowVHevn"
"JW40bZ2visjxVxTvU4eW"|"lfBtK79GaMFT"
"JW40bZ2visjxVxTvU4eW"|"RNGSc80NjgKJ"
"QiuUNTG1F5tmn8YGcQhT"|"sHKT8e3qSooa"
"QiuUNTG1F5tmn8YGcQhT"|"833RGg0GHtmA"
"ZmLkgJ3DbRZwXgzl5W0r"|"WW1YAKhIW9rR"
"ZmLkgJ3DbRZwXgzl5W0r"|"eOIW2DOxu4mp"
"mIchYA0qzjm5LoeOIxgC"|"Uh3Tv1vxYppS"
"GxDMbMPiHr4kob5rD4jN"|"r8hV6IEW1mnc"
"GxDMbMPiHr4kob5rD4jN"|"v5Z6pJ2xhUXB"
"JezqnB0XGTQZY4HEW1Oi"|"XrL4hIIPsKKt"
"rKgC1I7TAza5RuxQf4s5"|"oU8qcqeE8Teq"
"si4SVeU7PM2JRL8N0oMK"|"O19GMpx0Q3BJ"
"si4SVeU7PM2JRL8N0oMK"|"MKOCuRarq3if"
"nU4ABZSfg57LovSVwC1O"|"OT1uqn8jC1Zx"
"P4in6xvBDr5aFdaRIYKT"|"d9n1YyfBZNRZ"
"P4in6xvBDr5aFdaRIYKT"|"5CzKTSN9RoA2"
"cdUQIZaFAGRvhdVQH938"|"t11Cd7tOuSuA"
"6OpGNvEO1Ohwj6Px9pRg"|"wtN1NudE62NI"
"wvNI3TilGfXr51BGhDNy"|"MCLZHFvsPfIU"
"wvNI3TilGfXr51BGhDNy"|"UA5RxsJeBeIk"
"9Qii9MQl6DBvQpEn54Fm"|"N1fVKbM2eblT"
"9Qii9MQl6DBvQpEn54Fm"|"omMQM1iItePO"
"QwX6MLXaoOQywpSvLAUj"|"3616PC0u6FKJ"
"QwX6MLXaoOQywpSvLAUj"|"FYpyyvjTZIfo"
"NWdTcEW5HHmcoEgKESmd"|"hg4skDV4EJy8"
"wTn2qjr52DiIQUqKynoK"|"lSyxagAq6MR7"
"wTn2qjr52DiIQUqKynoK"|"dFvSTgqd9KCC"
"XtT6W2T6nhLrq2s7tu5R"|"MWVGCniXWPHN"
"V8zqdQS5tiAxHmPui9Qn"|"IUn3YcwbeU4b"
"QkcA9IX8xuvoW8xmEh1n"|"4UcFND7rAoLa"
"KXJepmcc9m3OXI2r6zPo"|"LeB9dx9KxTM8"
"Xvfxowg4ndQtsMCzILfk"|"jzaDyTVGcaAi"
"Xvfxowg4ndQtsMCzILfk"|"YuUZECi10guy"
"Mv5OjMofoJ939gvm3uc6"|"XdljvkwIxUd2"
"Mv5OjMofoJ939gvm3uc6"|"KAA02rtx4RFp"
"oBLvQUzady2iONIxDya3"|"KZn5tIH9aNjU"
"oBLvQUzady2iONIxDya3"|"NSdXELmF8Xa7"
"WEl8A9znTiL6zGOYwrQZ"|"9FRA9tUPCJL2"
"WEl8A9znTiL6zGOYwrQZ"|"CKjJjQRbsYro"
"5E2K8dYcaNfrXfbWZn5C"|"uIxrCQPwcSUV"
"5E2K8dYcaNfrXfbWZn5C"|"jAbSqaL1ADIQ"
"mjNrCiIZRTsUK4NGeRWs"|"gPsFTsadE9td"
"URANb9lhAWd4bPWdFa97"|"Qw9VTWNdUDd0"
"URANb9lhAWd4bPWdFa97"|"u3cVkn6P4TQp"
"KSyUOwtTTzvIL3s02EdN"|"4maeIVJclNsJ"
"LzVBiKlSM3BGuHWeiRVZ"|"NWL793QJswtM"
"LzVBiKlSM3BGuHWeiRVZ"|"5KsNLmqdDBT6"
"gK38atM51CWK9S8tDFVP"|"NSXi0UineyxM"
"gK38atM51CWK9S8tDFVP"|"nzpbeAaX82Ku"
"aujmvi816tZVVLvCpeEC"|"4DesFAvyX0W0"
"88tHtLmLspcjF9DstWOH"|"OG6V165W4ZN2"
"88tHtLmLspcjF9DstWOH"|"q3DF0gmR6PmW"
"9VNtrxYhCEPmeo0IRbbv"|"GygVUhOVNuQI"
"Htn8Pi2evLIr14oAd6ui"|"1tccajVY8gkg"
"Htn8Pi2evLIr14oAd6ui"|"Hxpvfmiv1G0r"
"tBhP0O4rJPFJfr7qXgbv"|"hnOyuLzq9sSx"
"tBhP0O4rJPFJfr7qXgbv"|"Ywae280KbbUU"
"Uk3AKow5BWGEFuLlPT0L"|"hWexHJYZRcJK"
"Uk3AKow5BWGEFuLlPT0L"|"KdEOZ4c7ghTm"
"N773JKKq8D8ZJcsbMlg6"|"dqFT5q4Pp6lJ"
"N773JKKq8D8ZJcsbMlg6"|"8dDQoxrhQuI2"
"SZOSTp3SkfS83vgANR6h"|"U6dskFjiTfRA"
"SZOSTp3SkfS83vgANR6h"|"9Qo24AIdWDOj"
